Place, Name, Address
Bus Interchange, Compassvale Bus Interchange,51A| Compassvale Road| S(544760)
Bus Interchange, Hougang Bus Interchanage,840 Hougang Central| S(53877)
Bus Interchange, Sengkang Bus Interchange,13 Sengkang Square| S(545077)
Bus Interchange, Tampines Bus Interchange,512 Tampines Central 1| S(520512)
Bus Interchange, Tampines Concourse Bus Interchange ,11 Tampines Concourse| S(529543)
Club, Safra Punggol,9 Sentul Crescent| S(828654)
Coffeeshop, 21 Street Eating House,Blk 201 Tampines Street 21|# 01-201 S(520201)
Coffeeshop,CCMW Hougang Avenue 8,Blk 631 Hougang Avenue 8| #01-06| S(530631)
Coffeeshop,CCMW Tampines Ave 4,Blk 802 Tampines Ave 4| #01-77| S(520802)
Coffeeshop,CCMW Tampines Street 21 ,Blk 201C Tampines Street 21| #01-01| S(523201)
Coffeeshop,CCMW Tampines Street 41,Blk 406 Tampines Street 41| #01-07| S(520406)
Coffeeshop,CCMW Tampines Street 81,Blk 820| Tampines Street 81| #01-501| S(520820)
Coffeeshop, NTUC Foodfare,Blk 273C Punggol Place| #01-882| S(823273)
Coffeeshop, NTUC Foodfare Anchorvale,Blk 308 Anchorvale Road #01-07 S(540308)
Coffeeshop, NTUC Foodfare Pasir Ris,527C Pasir Ris Street 51| S(513527)
Coffeeshop, NTUC Foodfare Upper Serangoon,476D Upper Serangoon View| #02-05| S(537476))
Foodcourt,Koufu Foodcourt,Blk 118 Rivervale Drive| #02-15/16| S(540118)
Foodcourt, Koufu Foodcourt,Blk 263 Compassvale Street| #01-09 S(540263)
Market & Food Centre, Chomp Chomp Food Centre,20 Kensington Park Road| S(557269)
Market & Food Centre, Hawker Centre @ Our Tampines Hub,902 Tampines Avenue 4| S(520902)
Market & Food Centre, Pasir Ris Central Hawker Centre,110 Pasir Ris Central| S(519641)
Market & Food Centre, Serangoon Garden Market,49A Serangoon Garden Way| S(555945)
MRT Station, Bedok Reservoir MRT Station (DT30),371 Bedok North Avenue 3| S(469724)
MRT Station, Eunos MRT Station,30 Eunos Crescent| S(409423)
MRT Station, Kaki Bukit MRT Station (DT28),30 Kaki Bukit Avenue 1| S(415804)
MRT Station, Kembangan MRT Station,55 Sims Avenue East| S(416551)
MRT Station, Pasir Ris MRT Station,10 Pasir Ris Central| S(519634)
MRT Station, Punggol MRT Station-NE17,10 Punggol Central| S(828868)
MRT Station, Tampines East MRT Station (DT33),20 Tampines Avenue 7| S(529623)
MRT Station, Tampines MRT Station,20 Tampines Central| S(529538)
MRT Station, Tampines MRT Station (DT32),20 Tampines Central| S(529538)
MRT Station, Tampines West MRT Station (DT31),2 Tampines Avenue 4| S(529683)
MRT Station, Tanah Merah MRT Station,920 New Upper Changi Road| (467356)
Place of worship, Al - Istighfar Mosque,2 Pasir Ris Walk| S(518239)
Shopping Centre, Century Square,2 Tampines Central 5| S(529509)
Shopping Centre, Elias Mall,Blk 625| Level 1 & 2| Elias Road| S(510625)
Shopping Centre, Hougang Mall,90 Hougang Avenue 10| Level B1 - 2| S(538766)
Shopping Centre, Hougang Mall,90 Hougang Avenue 10| Level 3 - 5| S(538766)
Shopping Centre, Pasir Ris West Plaza,735| Pasir Ris Street 72| S(510735)
Shopping Centre, Rivervale Plaza,118| Rivervale Plaza| S(540118)
Shopping Centre, Tampines Central Community Complex,Blk 886A| Tampines Street 83| S(521866)
Shopping Centre, Tampines One,10| Tampines Central 1| S(529536)
Shopping Centre, White Sands,1 Pasir Ris Central Street 3| S(518457)
